1|1|15000.00|2.50|Activo|2026-01-15 10:30:00
2|2|22000.00|3.00|Activo|2026-01-16 11:00:00
3|3|8500.00|3.50|Atrasado|2026-01-17 09:15:00
4|4|45000.00|1.75|Pagado|2026-01-18 14:20:00
5|5|12000.00|2.25|Activo|2026-01-19 16:45:00
6|6|18000.00|2.80|Atrasado|2026-01-20 12:00:00
7|7|31000.00|1.90|Pagado|2026-01-21 15:10:00
8|8|9500.00|3.20|Activo|2026-01-22 08:30:00
9|9|60000.00|1.50|Activo|2026-01-23 17:00:00
10|10|14000.00|2.75|Pagado|2026-01-24 10:00:00
11|11|25000.00|2.10|Activo|2026-01-25 09:00:00
12|12|13500.00|3.10|Atrasado|2026-01-26 14:30:00
13|13|48000.00|1.80|Pagado|2026-01-27 16:15:00
14|14|16500.00|2.40|Activo|2026-01-28 11:45:00
15|15|52000.00|1.65|Activo|2026-01-29 13:20:00
16|16|7200.00|3.80|Atrasado|2026-01-30 10:10:00
17|17|29000.00|2.00|Pagado|2026-01-31 15:50:00
18|18|11000.00|2.90|Activo|2026-02-01 08:40:00
19|19|65000.00|1.45|Activo|2026-02-02 17:30:00
20|20|19500.00|2.60|Pagado|2026-02-03 12:10:00
